id,trial,cond,prob,ea1,ea2,ea3,ea4,focal,support1,support2,support3,support4,support5,support6,age,gender,GamesWeek,GamesSeason,SportsNews,ea,strength
10,1,distributional,.30000001,,,,,Clippers,90,40,100,75,80,50,27,1,4,65,6,,-.81093019
10,2,distributional,.44999999,,,,,Clippers,90,40,100,75,80,50,27,1,4,65,6,,-.47000363
10,3,distributional,.5,,,,,Clippers,90,40,100,75,80,50,27,1,4,65,6,,-.28768209
11,1,distributional,.56999999,,,,,Grizzlies,75,72,100,95,65,55,34,1,11,70,30,,.040821996
11,2,distributional,.54000002,,,,,Grizzlies,75,72,100,95,65,55,34,1,11,70,30,,.16705409
11,3,distributional,.40000001,,,,,Clippers,75,72,100,95,65,55,34,1,11,70,30,,-.051293295
12,1,distributional,.85000002,3,3,4,4,Grizzlies,100,40,90,75,75,35,36,1,2,30,6,0,.91629076
12,2,distributional,.2,3,3,4,4,Clippers,100,40,90,75,75,35,36,1,2,30,6,0,-.76214004
12,3,distributional,.30000001,3,3,4,4,Clippers,100,40,90,75,75,35,36,1,2,30,6,0,-.18232156
13,1,singular,.69999999,,,,,Grizzlies,85,65,100,65,85,50,32,1,1,10,5,,.268264
13,2,singular,.69999999,,,,,Grizzlies,85,65,100,65,85,50,32,1,1,10,5,,.53062826
13,3,singular,.25,,,,,Clippers,85,65,100,65,85,50,32,1,1,10,5,,-.43078291
14,1,singular,.57999998,6,2,5,1,Grizzlies,94,82,100,96,90,86,24,1,10,150,15,-2,.13657553
14,2,singular,.46000001,6,2,5,1,Clippers,94,82,100,96,90,86,24,1,10,150,15,-2,-.045462374
14,3,singular,.47,6,2,5,1,Clippers,94,82,100,96,90,86,24,1,10,150,15,-2,-.040821996
15,1,distributional,.69999999,3,6,4,6,Grizzlies,60,30,100,70,80,40,29,1,2,30,24,1.25,.69314718
15,2,distributional,.69999999,3,6,4,6,Grizzlies,60,30,100,70,80,40,29,1,2,30,24,1.25,.69314718
